order_id,return_reason,return_date
93390,Wrong Item,2025-03-25
49304,Late Delivery,2025-12-01
2411,Damaged,2025-12-05
63503,Damaged,2025-05-17
27996,Damaged,2025-06-04
27071,Damaged,2025-01-23
47256,Damaged,2025-07-26
96278,Damaged,2025-09-26
68290,Wrong Item,2025-02-03
10823,Wrong Item,2025-11-27
71899,Wrong Item,2025-04-19
52175,Wrong Item,2025-10-09
54105,Wrong Item,2025-08-31
5242,Late Delivery,2025-09-23
30236,Wrong Item,2025-01-10
3494,Late Delivery,2025-12-25
85247,Late Delivery,2025-07-06
88442,Not Needed,2025-12-06
20283,Late Delivery,2025-02-20
88141,Wrong Item,2025-08-15
96980,Wrong Item,2025-01-14
903,Wrong Item,2025-06-15
10465,Late Delivery,2025-07-23
14187,Wrong Item,2025-09-21
92597,Wrong Item,2025-10-08
2281,Damaged,2025-03-20
53321,Damaged,2025-11-21
34597,Wrong Item,2025-12-09
50486,Wrong Item,2025-04-17
10382,Late Delivery,2025-04-21
41854,Damaged,2025-09-02
23541,Not Needed,2025-03-23
57121,Damaged,2025-07-20
28681,Wrong Item,2025-04-06
20554,Damaged,2025-11-26
8894,Damaged,2025-11-21
72022,Late Delivery,2025-08-21
58110,Wrong Item,2025-02-25
49104,Not Needed,2025-08-29
58010,Damaged,2025-08-23
55481,Wrong Item,2025-12-17
34957,Not Needed,2025-09-14
80283,Wrong Item,2025-11-30
68333,Late Delivery,2025-06-17
84061,Wrong Item,2025-03-22
38159,Not Needed,2025-02-13
70452,Wrong Item,2025-05-29
82951,Damaged,2025-10-09
92404,Not Needed,2025-08-03
39888,Wrong Item,2025-12-19
95984,Wrong Item,2025-06-26
10756,Damaged,2025-04-05
41245,Not Needed,2025-11-06
59316,Late Delivery,2025-09-13
81780,Wrong Item,2025-11-08
34348,Damaged,2025-10-08
16482,Not Needed,2025-12-29
9218,Late Delivery,2025-12-05
21614,Not Needed,2025-11-09
35843,Wrong Item,2025-01-04
93224,Wrong Item,2025-05-26
65062,Not Needed,2025-11-09
10059,Wrong Item,2025-09-06
29047,Wrong Item,2025-10-04
30866,Damaged,2025-09-17
33328,Not Needed,2025-06-21
96051,Late Delivery,2025-09-04
18962,Not Needed,2025-06-12
72994,Damaged,2025-07-18
94746,Damaged,2025-07-30
20239,Late Delivery,2025-07-13
83214,Damaged,2025-09-29
8181,Damaged,2025-01-10
78245,Wrong Item,2025-06-06
63273,Late Delivery,2025-07-14
21265,Wrong Item,2025-06-02
64167,Wrong Item,2025-12-06
69984,Wrong Item,2025-06-14
45860,Not Needed,2025-03-04
76330,Wrong Item,2025-10-01
31446,Late Delivery,2025-03-11
74379,Wrong Item,2025-02-20
84225,Not Needed,2025-05-29
72438,Late Delivery,2025-08-10
53330,Late Delivery,2025-12-12
93971,Late Delivery,2025-08-17
66772,Late Delivery,2025-03-15
48091,Not Needed,2025-12-29
27753,Late Delivery,2025-03-27
39500,Damaged,2025-04-26
95471,Damaged,2025-02-28
89705,Wrong Item,2025-05-17
42826,Wrong Item,2025-07-08
62230,Wrong Item,2025-11-05
61432,Damaged,2025-02-11
89653,Not Needed,2025-01-28
27818,Not Needed,2025-07-04
10631,Not Needed,2025-02-12
11370,Wrong Item,2025-09-21
12424,Late Delivery,2025-02-02
74646,Damaged,2025-01-17
90856,Not Needed,2025-09-08
84666,Not Needed,2025-04-17
26119,Not Needed,2025-12-15
1098,Late Delivery,2025-09-17
94219,Damaged,2025-01-02
71075,Wrong Item,2025-08-09
79923,Damaged,2025-06-29
61870,Wrong Item,2025-12-01
68665,Wrong Item,2025-12-13
25211,Late Delivery,2025-12-15
9790,Late Delivery,2025-06-23
57349,Wrong Item,2025-01-22
71762,Wrong Item,2025-03-07
93711,Damaged,2025-03-04
24435,Not Needed,2025-12-19
62748,Not Needed,2025-10-30
81139,Wrong Item,2025-07-24
12396,Not Needed,2025-10-01
21023,Wrong Item,2025-06-18
84576,Damaged,2025-06-15
68253,Wrong Item,2025-07-03
63750,Not Needed,2025-01-13
83515,Late Delivery,2025-09-15
80451,Late Delivery,2025-10-29
88749,Not Needed,2025-07-31
8494,Not Needed,2025-05-15
87124,Damaged,2025-02-07
11425,Late Delivery,2025-05-25
55177,Damaged,2025-07-08
35223,Late Delivery,2025-06-21
47757,Damaged,2025-04-18
58995,Wrong Item,2025-05-16
31013,Late Delivery,2025-03-11
80556,Not Needed,2025-05-27
65629,Not Needed,2025-05-24
12351,Damaged,2025-06-28
60920,Late Delivery,2025-01-27
82744,Wrong Item,2025-06-29
71715,Damaged,2025-02-02
42806,Not Needed,2025-07-05
2081,Late Delivery,2025-08-02
97476,Not Needed,2025-08-08
51143,Not Needed,2025-11-13
77403,Damaged,2025-09-17
65954,Not Needed,2025-11-18
49324,Wrong Item,2025-08-29
53015,Not Needed,2025-02-11
50279,Not Needed,2025-06-16
44877,Late Delivery,2025-09-21
22977,Not Needed,2025-02-16
28667,Damaged,2025-11-06
69591,Damaged,2025-03-03
34753,Damaged,2025-04-02
50473,Damaged,2025-10-16
30883,Not Needed,2025-07-15
79273,Damaged,2025-09-15
65857,Not Needed,2025-02-18
22644,Wrong Item,2025-05-30
1371,Wrong Item,2025-10-11
44564,Not Needed,2025-07-21
90981,Wrong Item,2025-03-16
79905,Wrong Item,2025-03-24
14324,Wrong Item,2025-12-20
87474,Not Needed,2025-05-05
60754,Damaged,2025-07-31
19131,Not Needed,2025-05-22
30820,Damaged,2025-05-27
39151,Wrong Item,2025-03-27
43208,Not Needed,2025-08-30
9697,Damaged,2025-02-09
78391,Late Delivery,2025-09-16
8064,Late Delivery,2025-06-16
57048,Not Needed,2025-02-20
51731,Damaged,2025-08-01
38683,Late Delivery,2025-10-06
83465,Late Delivery,2025-05-09
84258,Late Delivery,2025-06-11
17662,Late Delivery,2025-12-28
72373,Late Delivery,2025-03-08
47833,Damaged,2025-10-25
19329,Wrong Item,2025-11-05
13877,Damaged,2025-04-20
83116,Damaged,2025-04-01
98210,Late Delivery,2025-06-25
69728,Late Delivery,2025-12-31
11610,Late Delivery,2025-03-08
86276,Late Delivery,2025-03-23
59757,Wrong Item,2025-10-19
38612,Not Needed,2025-07-09
54680,Late Delivery,2025-11-24
73132,Not Needed,2025-04-02
68218,Late Delivery,2025-04-25
64301,Wrong Item,2025-06-21
40349,Damaged,2025-04-01
73457,Damaged,2025-07-04
52767,Wrong Item,2025-06-17
36914,Wrong Item,2025-10-06
40529,Late Delivery,2025-07-25
20892,Wrong Item,2025-02-20
59181,Not Needed,2025-01-11
57847,Late Delivery,2025-08-09
99682,Not Needed,2025-11-21
17461,Not Needed,2025-04-01
37409,Late Delivery,2025-05-19
83229,Not Needed,2025-01-19
17173,Not Needed,2025-10-01
14118,Wrong Item,2025-03-08
55904,Not Needed,2025-01-24
10541,Late Delivery,2025-03-20
76104,Late Delivery,2025-04-03
86194,Not Needed,2025-07-13
32716,Not Needed,2025-08-01
99609,Not Needed,2025-01-02
32289,Damaged,2025-04-16
83291,Late Delivery,2025-11-28
56112,Late Delivery,2025-01-10
61294,Late Delivery,2025-01-05
16324,Late Delivery,2025-07-17
13770,Wrong Item,2025-04-08
74361,Wrong Item,2025-07-03
31364,Late Delivery,2025-10-06
26978,Not Needed,2025-12-01
16989,Damaged,2025-05-11
36675,Not Needed,2025-11-21
20393,Wrong Item,2025-08-26
69452,Damaged,2025-01-11
75523,Wrong Item,2025-11-02
33732,Not Needed,2025-11-21
24811,Damaged,2025-08-02
83004,Wrong Item,2025-11-09
693,Not Needed,2025-05-13
72688,Late Delivery,2025-09-23
15052,Wrong Item,2025-08-17
14053,Wrong Item,2025-04-10
15767,Not Needed,2025-11-16
4411,Wrong Item,2025-10-02
76326,Late Delivery,2025-10-15
25054,Not Needed,2025-03-06
79453,Late Delivery,2025-05-25
25208,Damaged,2025-03-29
15229,Not Needed,2025-06-16
78652,Not Needed,2025-04-20
66552,Late Delivery,2025-04-16
64340,Late Delivery,2025-10-06
49364,Late Delivery,2025-05-10
79760,Wrong Item,2025-04-11
69396,Late Delivery,2025-08-23
53585,Damaged,2025-06-16
6434,Late Delivery,2025-12-27
73445,Late Delivery,2025-08-30
31562,Not Needed,2025-02-26
58554,Wrong Item,2025-01-08
51907,Not Needed,2025-09-17
15551,Not Needed,2025-12-05
28666,Late Delivery,2025-09-06
60113,Wrong Item,2025-12-23
49257,Not Needed,2025-09-21
68899,Late Delivery,2025-06-27
76683,Wrong Item,2025-05-05
40231,Late Delivery,2025-06-15
63539,Wrong Item,2025-03-30
27602,Late Delivery,2025-06-18
52964,Damaged,2025-12-25
61520,Not Needed,2025-08-20
84689,Late Delivery,2025-12-15
13622,Late Delivery,2025-08-30
41943,Wrong Item,2025-11-11
14795,Not Needed,2025-05-10
39097,Damaged,2025-01-17
57770,Not Needed,2025-02-02
20492,Wrong Item,2025-07-20
17530,Damaged,2025-04-05
21009,Late Delivery,2025-03-11
60017,Late Delivery,2025-02-27
95463,Wrong Item,2025-12-04
21339,Wrong Item,2025-12-04
93332,Damaged,2025-08-25
42540,Wrong Item,2025-07-30
53441,Late Delivery,2025-01-11
79238,Wrong Item,2025-09-30
69359,Late Delivery,2025-07-11
3411,Damaged,2025-05-14
95490,Not Needed,2025-05-30
47185,Not Needed,2025-04-11
77260,Late Delivery,2025-11-21
31584,Damaged,2025-03-06
14236,Not Needed,2025-02-25
66621,Late Delivery,2025-07-21
28949,Wrong Item,2025-10-21
62278,Wrong Item,2025-07-22
94049,Wrong Item,2025-04-17
49153,Damaged,2025-02-01
31344,Damaged,2025-04-30
32265,Late Delivery,2025-05-17
32020,Damaged,2025-01-07
85459,Late Delivery,2025-04-05
7254,Damaged,2025-03-05
98036,Damaged,2025-05-02
94369,Damaged,2025-10-10
28143,Late Delivery,2025-08-01
7077,Not Needed,2025-07-19
28066,Damaged,2025-01-21
96044,Wrong Item,2025-03-29
36372,Late Delivery,2025-02-19
65904,Damaged,2025-03-29
57818,Damaged,2025-09-26
4531,Late Delivery,2025-04-17
25501,Late Delivery,2025-08-05
20632,Not Needed,2025-08-01
99800,Late Delivery,2025-02-25
48578,Late Delivery,2025-02-28
4649,Wrong Item,2025-04-24
84928,Wrong Item,2025-01-27
15227,Damaged,2025-10-18
85104,Wrong Item,2025-04-27
26329,Late Delivery,2025-07-13
56700,Damaged,2025-10-30
23965,Wrong Item,2025-12-28
70928,Wrong Item,2025-02-21
87986,Damaged,2025-02-13
98157,Wrong Item,2025-11-23
56995,Damaged,2025-11-11
81186,Damaged,2025-11-29
5283,Not Needed,2025-08-31
56476,Not Needed,2025-12-05
73864,Late Delivery,2025-11-16
41414,Not Needed,2025-08-13
78555,Late Delivery,2025-05-06
74467,Wrong Item,2025-05-12
99691,Damaged,2025-08-01
65303,Not Needed,2025-01-07
18424,Not Needed,2025-06-15
85159,Wrong Item,2025-08-25
69145,Not Needed,2025-01-25
72295,Late Delivery,2025-01-08
20445,Damaged,2025-11-20
87502,Late Delivery,2025-02-02
30109,Damaged,2025-10-21
80254,Wrong Item,2025-07-29
260,Late Delivery,2025-11-23
97636,Wrong Item,2025-06-15
76803,Not Needed,2025-09-11
51017,Damaged,2025-09-09
96670,Damaged,2025-03-26
4343,Wrong Item,2025-06-13
29239,Damaged,2025-01-22
54047,Not Needed,2025-09-04
82557,Wrong Item,2025-11-12
44208,Wrong Item,2025-10-20
5129,Damaged,2025-08-23
52884,Wrong Item,2025-05-28
78073,Wrong Item,2025-08-05
14794,Wrong Item,2025-12-10
4628,Late Delivery,2025-05-18
73658,Wrong Item,2025-12-25
57795,Late Delivery,2025-10-24
84341,Late Delivery,2025-03-29
13996,Not Needed,2025-06-24
14677,Damaged,2025-06-26
12265,Damaged,2025-10-03
26022,Damaged,2025-05-06
22054,Damaged,2025-06-30
76150,Wrong Item,2025-07-03
43927,Damaged,2025-11-10
27500,Not Needed,2025-01-16
63434,Damaged,2025-10-17
10408,Not Needed,2025-03-06
52953,Late Delivery,2025-03-11
42562,Late Delivery,2025-03-20
90696,Not Needed,2025-06-13
62199,Damaged,2025-06-22
41703,Not Needed,2025-06-07
10174,Wrong Item,2025-10-21
19283,Wrong Item,2025-09-26
36125,Not Needed,2025-10-09
70407,Not Needed,2025-11-03
3644,Damaged,2025-03-15
23973,Late Delivery,2025-11-11
37699,Late Delivery,2025-08-14
36282,Not Needed,2025-10-31
84368,Wrong Item,2025-01-30
2074,Late Delivery,2025-07-05
95590,Wrong Item,2025-09-17
79686,Not Needed,2025-07-07
60055,Wrong Item,2025-08-26
44012,Wrong Item,2025-09-05
31529,Late Delivery,2025-01-21
90357,Not Needed,2025-01-17
3967,Damaged,2025-09-10
96784,Not Needed,2025-09-22
99437,Damaged,2025-05-24
16260,Late Delivery,2025-05-11
25743,Damaged,2025-07-12
89719,Late Delivery,2025-07-16
90741,Wrong Item,2025-04-06
45724,Late Delivery,2025-05-02
36565,Not Needed,2025-11-02
51103,Damaged,2025-08-21
67938,Late Delivery,2025-03-10
4809,Not Needed,2025-01-07
98330,Not Needed,2025-01-26
75345,Not Needed,2025-05-31
80953,Damaged,2025-08-26
26263,Wrong Item,2025-11-19
56844,Damaged,2025-01-18
27242,Not Needed,2025-04-10
80355,Wrong Item,2025-08-07
42271,Damaged,2025-11-08
4659,Not Needed,2025-03-08
73614,Late Delivery,2025-10-30
80792,Late Delivery,2025-03-28
16119,Damaged,2025-04-30
27302,Damaged,2025-02-08
90676,Damaged,2025-08-03
72527,Damaged,2025-01-30
42722,Not Needed,2025-07-17
35338,Not Needed,2025-05-02
32044,Damaged,2025-11-04
54779,Late Delivery,2025-05-30
29288,Late Delivery,2025-01-23
26697,Damaged,2025-12-21
84759,Late Delivery,2025-02-12
64308,Late Delivery,2025-11-22
64714,Late Delivery,2025-09-12
26898,Not Needed,2025-02-24
58678,Not Needed,2025-12-06
22068,Wrong Item,2025-08-03
89567,Not Needed,2025-07-12
61808,Not Needed,2025-01-23
32190,Damaged,2025-04-25
40542,Wrong Item,2025-05-25
89713,Wrong Item,2025-01-12
55499,Wrong Item,2025-08-29
4919,Not Needed,2025-04-04
83143,Wrong Item,2025-07-10
86224,Not Needed,2025-07-31
77703,Late Delivery,2025-04-22
38351,Wrong Item,2025-07-30
21770,Wrong Item,2025-10-16
67258,Wrong Item,2025-08-26
29688,Not Needed,2025-11-01
96651,Not Needed,2025-08-22
2969,Late Delivery,2025-06-04
46853,Late Delivery,2025-11-16
54181,Damaged,2025-06-06
85404,Damaged,2025-11-19
77752,Not Needed,2025-04-02
34260,Damaged,2025-02-20
37707,Wrong Item,2025-10-13
70193,Late Delivery,2025-05-05
29486,Wrong Item,2025-03-21
42154,Late Delivery,2025-08-03
75691,Wrong Item,2025-07-05
35148,Not Needed,2025-03-28
45333,Wrong Item,2025-04-22
45873,Damaged,2025-11-11
62958,Wrong Item,2025-02-02
29534,Not Needed,2025-04-06
28564,Not Needed,2025-11-10
62439,Wrong Item,2025-11-17
3432,Wrong Item,2025-10-04
85502,Late Delivery,2025-12-23
70832,Not Needed,2025-02-17
45295,Late Delivery,2025-02-15
67789,Late Delivery,2025-02-23
82308,Late Delivery,2025-11-03
65995,Wrong Item,2025-02-16
58878,Late Delivery,2025-10-29
23704,Wrong Item,2025-12-04
27377,Damaged,2025-11-01
62753,Late Delivery,2025-11-13
41436,Not Needed,2025-04-25
13026,Not Needed,2025-02-25
89841,Damaged,2025-05-28
41742,Damaged,2025-02-28
50766,Damaged,2025-02-18
23322,Damaged,2025-02-12
49441,Wrong Item,2025-02-27
4972,Damaged,2025-07-06
71546,Damaged,2025-04-12
50539,Damaged,2025-02-13
3993,Wrong Item,2025-03-17
66550,Late Delivery,2025-07-11
43610,Damaged,2025-07-24
22713,Not Needed,2025-04-19
26173,Not Needed,2025-04-11
66205,Not Needed,2025-10-24
18837,Wrong Item,2025-04-01
36498,Wrong Item,2025-03-02
56301,Damaged,2025-07-12
2802,Late Delivery,2025-01-22
14196,Wrong Item,2025-08-05
67360,Wrong Item,2025-12-25
21937,Damaged,2025-04-16
68723,Not Needed,2025-03-27
17873,Wrong Item,2025-10-14
92468,Damaged,2025-06-30
12054,Damaged,2025-06-17
62776,Not Needed,2025-07-30
82840,Not Needed,2025-08-02
38127,Wrong Item,2025-11-02
9408,Damaged,2025-08-28
17437,Not Needed,2025-06-17
7670,Late Delivery,2025-04-13
25316,Damaged,2025-05-23
72391,Damaged,2025-09-12
85723,Damaged,2025-08-29
15996,Not Needed,2025-02-17
18953,Not Needed,2025-04-11
16873,Wrong Item,2025-04-06
16095,Damaged,2025-09-26
16415,Not Needed,2025-03-26
47769,Damaged,2025-02-11
23008,Damaged,2025-12-09
57456,Not Needed,2025-11-28
31477,Wrong Item,2025-11-11
43922,Not Needed,2025-06-18
45740,Late Delivery,2025-06-08
73587,Wrong Item,2025-11-16
8931,Wrong Item,2025-11-25
19558,Wrong Item,2025-04-24
91201,Not Needed,2025-03-30
39207,Not Needed,2025-11-26
12361,Late Delivery,2025-02-04
19553,Wrong Item,2025-06-25
50675,Wrong Item,2025-05-15
2625,Damaged,2025-04-12
68618,Damaged,2025-07-05
46393,Wrong Item,2025-03-30
64207,Wrong Item,2025-08-20
70451,Wrong Item,2025-10-22
89368,Late Delivery,2025-06-11
72084,Late Delivery,2025-08-29
26588,Wrong Item,2025-12-17
11918,Late Delivery,2025-04-21
72023,Wrong Item,2025-08-02
65034,Not Needed,2025-05-20
25276,Not Needed,2025-01-31
81699,Late Delivery,2025-06-03
42649,Not Needed,2025-03-25
73492,Damaged,2025-12-01
85823,Late Delivery,2025-06-07
21205,Wrong Item,2025-04-30
1972,Not Needed,2025-12-08
96490,Wrong Item,2025-01-10
46636,Wrong Item,2025-06-12
79013,Not Needed,2025-02-11
3832,Not Needed,2025-07-11
17726,Not Needed,2025-10-27
3202,Damaged,2025-12-28
93113,Wrong Item,2025-12-18
7764,Not Needed,2025-01-02
75768,Wrong Item,2025-06-22
71296,Not Needed,2025-10-31
13066,Wrong Item,2025-09-24
40655,Late Delivery,2025-07-13
92269,Not Needed,2025-04-13
63217,Late Delivery,2025-08-03
87947,Wrong Item,2025-06-16
85806,Damaged,2025-12-22
93823,Late Delivery,2025-02-19
72185,Damaged,2025-03-17
30309,Wrong Item,2025-02-13
35033,Wrong Item,2025-02-04
87027,Damaged,2025-05-01
52602,Wrong Item,2025-09-03
28907,Wrong Item,2025-01-14
14803,Late Delivery,2025-01-08
44390,Wrong Item,2025-03-16
71244,Late Delivery,2025-10-17
5998,Late Delivery,2025-12-07
93255,Damaged,2025-02-06
95496,Late Delivery,2025-11-05
65396,Damaged,2025-11-09
86085,Damaged,2025-12-09
33685,Late Delivery,2025-07-13
3325,Not Needed,2025-11-18
52541,Damaged,2025-04-03
88440,Damaged,2025-03-11
5804,Not Needed,2025-06-02
90448,Damaged,2025-05-26
26808,Damaged,2025-07-28
18613,Wrong Item,2025-01-28
18098,Late Delivery,2025-12-22
99472,Not Needed,2025-05-06
50245,Damaged,2025-04-02
55172,Not Needed,2025-06-12
15827,Late Delivery,2025-04-21
21718,Not Needed,2025-02-17
79300,Not Needed,2025-02-25
68408,Damaged,2025-07-19
40633,Late Delivery,2025-11-25
49563,Damaged,2025-04-25
53013,Damaged,2025-04-22
6330,Not Needed,2025-08-18
4368,Wrong Item,2025-08-07
4609,Late Delivery,2025-07-07
